label,connection_id,srtt,rtt,mdev,mdev_max,rttvar,min_rtt,inflight,lost,recv_rtt,retrans_out,total_lost,sack_out,total_retrans,rcv_buf,snd_buf,snd_cwnd,sk_pacing_rate,sk_max_pacing_rate,delivered
fibre,160.217.166.30;43160;5201,2253,17485,282,200000,200003,556,196,0,0,0,1880,0,1880,131072,2854912,200,154390620,18446744073709551615,1409409
fibre,160.217.166.30;43160;5201,2402,18857,355,200000,200003,556,197,0,0,0,1880,0,1880,131072,2854912,224,160336341,18446744073709551615,1418976
fibre,160.217.166.30;43160;5201,2688,21822,383,200000,200003,556,241,0,0,0,1880,0,1880,131072,2854912,244,150921748,18446744073709551615,1427074
fibre,160.217.166.30;43160;5201,2959,22706,673,200000,200003,556,242,0,0,0,1880,0,1880,131072,2854912,263,156340561,18446744073709551615,1435169
fibre,160.217.166.30;43160;5201,2900,23088,231,200000,200003,556,242,0,0,0,1880,0,1880,131072,2854912,279,163107692,18446744073709551615,1443955
fibre,160.217.166.30;43160;5201,2206,18446,513,200000,200003,556,213,0,0,0,1935,0,1935,131072,2854912,213,155859741,18446744073709551615,1452034
fibre,160.217.166.30;43160;5201,2662,20840,361,200000,200003,556,197,0,0,0,1935,0,1935,131072,2854912,235,152204222,18446744073709551615,1460146
fibre,160.217.166.30;43160;5201,2757,21638,402,200000,200003,556,243,0,0,0,1935,0,1935,131072,2854912,255,159066826,18446744073709551615,1468978
fibre,160.217.166.30;43160;5201,2223,16832,600,200000,200003,556,196,0,0,0,1982,0,1982,131072,2854912,196,157172623,18446744073709551615,1476339
fibre,160.217.166.30;43160;5201,2170,17022,456,200000,200003,556,196,0,0,0,1982,0,1982,131072,2854912,196,155418258,18446744073709551615,1479283
fibre,160.217.166.30;43160;5201,2424,18874,382,200000,200003,556,196,0,0,0,1982,0,1982,131072,2854912,222,158761640,18446744073709551615,1488161
fibre,160.217.166.30;43160;5201,2656,21519,291,200000,200003,556,241,0,0,0,1982,0,1982,131072,2854912,242,151792332,18446744073709551615,1496304
fibre,160.217.166.30;43160;5201,2119,16574,316,200000,200003,556,149,0,0,0,2029,0,2029,131072,2854912,188,153104187,18446744073709551615,1504492
fibre,160.217.166.30;43160;5201,2105,16906,355,200000,200003,556,196,0,0,0,2029,0,2029,131072,2854912,206,164468567,18446744073709551615,1512633
fibre,160.217.166.30;43160;5201,2439,18819,408,200000,200003,556,195,0,0,0,2029,0,2029,131072,2854912,221,158508401,18446744073709551615,1519258
fibre,160.217.166.30;43160;5201,2200,20486,464,200000,200003,556,195,0,0,0,2029,0,2029,131072,2854912,237,156152064,18446744073709551615,1523674
fibre,160.217.166.30;43160;5201,2758,21468,329,200000,200003,556,242,0,0,0,2029,0,2029,131072,2854912,254,159697708,18446744073709551615,1531769
fibre,160.217.166.30;43160;5201,2254,17294,336,200000,200003,556,184,0,0,0,2059,0,2059,131072,2854912,196,152973840,18446744073709551615,1540613
fibre,160.217.166.30;43160;5201,2363,18882,305,200000,200003,556,196,0,0,0,2059,0,2059,131072,2854912,216,154405338,18446744073709551615,1548697
fibre,160.217.166.30;43160;5201,2084,21213,621,200000,200003,556,213,0,0,0,2059,0,2059,131072,2854912,238,151436798,18446744073709551615,1556776
fibre,160.217.166.30;43160;5201,2790,21431,396,200000,200003,556,242,0,0,0,2059,0,2059,131072,2854912,256,161233054,18446744073709551615,1565579
fibre,160.217.166.30;43160;5201,2150,16748,281,200000,200003,556,184,0,0,0,2074,0,2074,131072,2854912,190,153125388,18446744073709551615,1573779
fibre,160.217.166.30;43160;5201,1948,16886,296,200000,200003,556,168,0,0,0,2074,0,2074,131072,2854912,208,166262039,18446744073709551615,1581845
